"행정구역","2024년02월_총인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년02월_남자 인구수","2024년02월_여자 인구수","2024년02월_남여 비율"
"전국  (1000000000)","51,303,688","23,962,497","          2.14","25,553,189","25,750,499","          0.99"
"서울특별시  (1100000000)","9,386,705","4,480,607","          2.09","4,538,306","4,848,399","          0.94"
"부산광역시  (2600000000)","3,289,401","1,567,409","          2.10","1,602,971","1,686,430","          0.95"
"대구광역시  (2700000000)","2,372,008","1,095,812","          2.16","1,165,024","1,206,984","          0.97"
"인천광역시  (2800000000)","3,003,150","1,355,494","          2.22","1,501,543","1,501,607","          1.00"
"광주광역시  (2900000000)","1,417,031","656,017","          2.16","699,715","717,316","          0.98"
"대전광역시  (3000000000)","1,441,536","682,238","          2.11","718,931","722,605","          0.99"
"울산광역시  (3100000000)","1,102,161","491,670","          2.24","566,604","535,557","          1.06"
"세종특별자치시  (3600000000)","387,193","161,303","          2.40","192,836","194,357","          0.99"
"경기도  (4100000000)","13,639,616","5,994,965","          2.28","6,859,811","6,779,805","          1.01"
"강원특별자치도  (5100000000)","1,524,624","760,929","          2.00","766,727","757,897","          1.01"
"충청북도  (4300000000)","1,590,947","779,904","          2.04","809,319","781,628","          1.04"
"충청남도  (4400000000)","2,131,309","1,039,375","          2.05","1,092,711","1,038,598","          1.05"
"전북특별자치도  (5200000000)","1,751,318","861,966","          2.03","871,830","879,488","          0.99"
"전라남도  (4600000000)","1,800,352","911,453","          1.98","907,780","892,572","          1.02"
"경상북도  (4700000000)","2,548,440","1,283,187","          1.99","1,287,853","1,260,587","          1.02"
"경상남도  (4800000000)","3,244,232","1,526,864","          2.12","1,634,026","1,610,206","          1.01"
"제주특별자치도  (5000000000)","673,665","313,304","          2.15","337,202","336,463","          1.00"
